tconst	averageRating	numVotes
tt0000001	5.7	2099
tt0000002	5.6	282
tt0000003	6.5	2117
tt0000004	5.4	182
tt0000005	6.2	2849
tt0000006	5.0	199
tt0000007	5.4	891
tt0000008	5.4	2248
tt0000009	5.4	215
tt0000010	6.8	7752
tt0000011	5.2	403
tt0000012	7.4	13168
tt0000013	5.7	2019
tt0000014	7.1	5993
tt0000015	6.1	1230
tt0000016	5.9	1620
tt0000017	4.6	363
tt0000018	5.2	644
tt0000019	5.1	32
tt0000020	4.7	402
tt0000022	5.1	1176
tt0000023	5.7	1550
tt0000024	3.8	148
tt0000025	3.8	46
tt0000026	5.6	1635
tt0000027	5.6	1242
tt0000028	5.1	1164
tt0000029	5.9	3594
tt0000030	5.2	938
tt0000031	5.5	1079
tt0000032	4.9	448
tt0000033	5.5	1109
tt0000034	4.8	243
tt0000035	5.5	84
tt0000036	4.4	640
tt0000037	4.5	75
tt0000038	4.2	223
tt0000039	3.7	33
tt0000040	4.2	76
tt0000041	6.7	2054
tt0000042	4.2	39
tt0000043	3.4	33
tt0000044	4.0	52
tt0000045	4.0	34
tt0000046	4.1	38
tt0000047	3.6	38
tt0000048	4.7	224
tt0000049	4.8	54
tt0000050	4.1	35
tt0000051	3.6	36
tt0000052	4.2	118
tt0000053	3.3	19
tt0000054	4.9	35
tt0000055	3.8	32
tt0000056	3.0	23
tt0000057	4.3	36
tt0000058	4.2	34
tt0000059	3.3	28
tt0000060	7.2	92
tt0000061	4.2	34
tt0000062	6.1	215
tt0000063	3.3	29
tt0000064	3.0	30
tt0000065	3.2	30
tt0000066	3.2	30
tt0000067	5.3	85
tt0000068	3.8	32
tt0000069	4.9	526
tt0000070	6.4	2832
tt0000071	3.3	30
tt0000072	3.5	28
tt0000073	3.5	31
tt0000074	4.6	32
tt0000075	6.3	2115
tt0000076	4.4	576
tt0000077	4.5	36
tt0000078	3.6	102
tt0000079	4.5	37
tt0000080	4.0	32
tt0000081	4.1	33
tt0000082	4.6	51
tt0000083	4.6	33
tt0000084	4.3	31
tt0000085	4.7	34
tt0000086	4.1	34
tt0000087	4.7	37
tt0000088	4.2	33
tt0000089	6.2	1075
tt0000090	3.9	32
tt0000091	6.7	4148
tt0000092	4.5	30
tt0000093	4.6	97
tt0000094	4.4	49
tt0000095	4.8	35
tt0000096	4.1	31
tt0000097	4.9	34
tt0000098	5.2	37
tt0000099	4.6	33
tt0000100	4.8	61
tt0000101	4.5	29
tt0000102	4.7	27
tt0000103	5.4	28
tt0000104	5.6	491
tt0000105	5.0	30
tt0000106	4.4	24
tt0000107	5.2	29
tt0000108	4.4	578
tt0000109	4.4	562
tt0000110	4.3	567
tt0000111	4.4	583
tt0000112	4.5	559
tt0000113	4.3	587
tt0000114	5.1	31
tt0000115	4.9	35
tt0000116	5.2	28
tt0000117	5.0	183
tt0000118	4.8	42
tt0000119	5.1	69
tt0000120	4.9	61
tt0000121	4.2	115
tt0000122	5.1	32
tt0000123	5.5	187
tt0000124	5.2	31
tt0000125	4.6	16
tt0000126	5.8	32
tt0000127	4.4	28
tt0000128	5.5	40
tt0000129	6.6	52
tt0000130	5.1	29
tt0000131	5.7	1587
tt0000132	5.1	1176
tt0000133	6.2	36
tt0000134	4.5	22
tt0000135	6.2	88
tt0000137	5.0	40
tt0000138	6.4	1274
tt0000139	5.3	28
tt0000140	4.9	332
tt0000141	5.1	127
tt0000142	5.1	32
tt0000143	5.0	290
tt0000144	5.2	357
tt0000145	3.5	14
tt0000146	5.0	27
tt0000147	5.2	539
tt0000148	3.3	16
tt0000149	4.6	22
tt0000150	5.4	190
tt0000151	4.6	71
tt0000152	6.2	304
tt0000153	5.7	542
tt0000154	3.8	16
tt0000155	5.1	29
tt0000156	3.9	24
tt0000157	3.9	16
tt0000158	3.1	16
tt0000159	5.1	156
tt0000160	5.2	28
tt0000161	3.6	15
tt0000162	5.4	502
tt0000163	5.0	14
tt0000164	5.0	328
tt0000165	4.7	142
tt0000166	3.6	19
tt0000167	4.1	163
tt0000168	2.9	18
tt0000169	3.8	58
tt0000170	5.2	287
tt0000171	3.7	17
tt0000172	6.1	1101
tt0000173	4.6	46
tt0000174	4.5	142
tt0000175	4.9	247
tt0000176	4.7	14
tt0000177	4.6	255
tt0000178	5.2	257
tt0000179	4.7	47
tt0000181	6.6	62
tt0000182	4.8	593
tt0000183	5.9	36
tt0000184	4.9	344
tt0000186	4.7	24
tt0000187	4.9	63
tt0000188	3.6	12
tt0000190	4.7	156
tt0000192	4.5	195
tt0000194	5.4	85
tt0000196	4.7	31
tt0000197	4.2	21
